name,position
Joshsua González,Instructor
Christian Camilo Aparicio Baquen,Instructor
Andrea Herrera,Assistant Professor
Kelly Garcés,Assistant Professor
Rafael Gómez,Profesor Asociado
Oscar González Rojas,Associate Professor
Claudia Lucía Jiménez,Associate Professor
César Forero,Instructor
Lina Casas,Instructor
Jose Tiberio Hernández,Associate Professor
Jorge Duitama Castellanos,Visitor Professor
Pablo Figueroa,Associate Professor
Fernando de la Rosa,Associate Professor
Yezid Enrique Donoso Meisel,Associate Professor
Harold Enrique Castro Barrera,Associate Professor
Andrés Roberto Gómez,Instructor
John Alexis Guerra,Profesor Asistente
María del Pilar Villamil Giraldo,Associate Professor
Victor Toro,Associate Professor
Vanessa Pérez,Instructor
Jorge Villalobos,Associate Professor
Silvia Takahashi,Associate Professor
Jesse Padilla Agudelo,Instructor
Mario Sánchez,Assistant Professor
Olga Mariño Drews,Associate Professor
Darío Correal,Associate Professor
Mario Linares Vásquez,Assistant Professor
Nicolás Cardozo,Assistant Professor
Marcela Hernández,Associate Professor
Sandra Rueda,Assistant Professor
Óscar Ávila,Assistant Professor
Christan Ariza,Instructor
Germán Bravo,Associate Professor
Rubby Casallas,Full Professor
Rodrigo Cardoso,Associate Professor
